"Código","Unidade Territorial","UF","Referência","Número de pessoas cadastradas no Cadastro Único em domicílios rurais","Número de pessoas cadastradas no Cadastro Único em domicílios urbanos"
"150013","ABEL FIGUEIREDO","PA","05/2013","374","4353"
"150013","ABEL FIGUEIREDO","PA","04/2013","366","4388"
"150013","ABEL FIGUEIREDO","PA","03/2013","340","4397"
"150013","ABEL FIGUEIREDO","PA","12/2012","351","4441"
"150013","ABEL FIGUEIREDO","PA","11/2012","359","4458"
"150013","ABEL FIGUEIREDO","PA","10/2012","357","4457"
"150013","ABEL FIGUEIREDO","PA","08/2012","315","4508"
"150020","ACARÁ","PA","05/2019","33750","9288"
"150020","ACARÁ","PA","08/2026","41425","9104"
"150020","ACARÁ","PA","07/2026","41295","9101"
"150020","ACARÁ","PA","06/2026","41186","9089"
"150020","ACARÁ","PA","05/2026","41071","9061"
"150020","ACARÁ","PA","04/2026","40891","9061"
"150020","ACARÁ","PA","03/2026","40802","9046"
"150020","ACARÁ","PA","02/2026","40796","9052"
"150020","ACARÁ","PA","01/2026","40765","8998"
"150020","ACARÁ","PA","02/2025","39805","9056"
"150020","ACARÁ","PA","09/2025","40420","9060"
"150020","ACARÁ","PA","06/2025","40324","9120"
"150020","ACARÁ","PA","03/2025","39833","9058"
"150020","ACARÁ","PA","07/2025","40290","9070"
"150020","ACARÁ","PA","12/2025","40686","8989"
"150020","ACARÁ","PA","11/2025","40641","9026"
"150020","ACARÁ","PA","05/2025","40126","9119"
"150020","ACARÁ","PA","10/2025","40529","9018"
"150020","ACARÁ","PA","08/2025","40243","9056"
"150020","ACARÁ","PA","01/2025","39782","9096"
"150020","ACARÁ","PA","07/2024","39078","9131"
"150020","ACARÁ","PA","05/2024","39419","9317"
"150020","ACARÁ","PA","09/2024","39419","9041"
"150020","ACARÁ","PA","03/2024","39262","9307"
"150020","ACARÁ","PA","01/2024","39030","9267"
"150020","ACARÁ","PA","10/2024","39552","9080"
"150020","ACARÁ","PA","06/2024","39483","9309"
"150020","ACARÁ","PA","12/2024","40002","9155"
"150020","ACARÁ","PA","11/2024","39700","9119"
"150020","ACARÁ","PA","02/2024","39097","9272"
"150020","ACARÁ","PA","04/2024","39377","9332"
"150020","ACARÁ","PA","08/2024","39332","9157"
"150020","ACARÁ","PA","11/2023","39803","9426"
"150020","ACARÁ","PA","03/2023","38786","9315"
"150020","ACARÁ","PA","07/2023","39170","9310"
"150020","ACARÁ","PA","01/2023","38584","9301"
"150020","ACARÁ","PA","12/2023","40010","9457"
"150020","ACARÁ","PA","09/2023","39498","9346"
"150020","ACARÁ","PA","06/2023","39016","9269"
"150020","ACARÁ","PA","02/2023","38679","9303"
"150020","ACARÁ","PA","10/2023","39646","9389"
"150020","ACARÁ","PA","05/2023","38851","9240"
"150020","ACARÁ","PA","08/2023","39279","9335"
"150020","ACARÁ","PA","04/2023","38617","9213"
"150020","ACARÁ","PA","07/2022","36880","9038"
"150020","ACARÁ","PA","04/2022","35742","8968"
"150020","ACARÁ","PA","03/2022","35270","8912"
"150020","ACARÁ","PA","09/2022","37630","9122"
"150020","ACARÁ","PA","01/2022","34758","8854"
"150020","ACARÁ","PA","06/2022","36501","8998"
"150020","ACARÁ","PA","08/2022","37240","9065"
"150020","ACARÁ","PA","11/2022","38279","9234"
"150020","ACARÁ","PA","10/2022","38041","9184"
"150020","ACARÁ","PA","05/2022","35973","9003"
"150020","ACARÁ","PA","12/2022","38528","9284"
"150020","ACARÁ","PA","02/2022","35064","8912"
"150020","ACARÁ","PA","12/2021","34705","8814"
"150020","ACARÁ","PA","09/2021","34542","8740"
"150020","ACARÁ","PA","04/2021","34504","8728"
"150020","ACARÁ","PA","06/2021","34457","8744"
"150020","ACARÁ","PA","11/2021","34625","8817"
"150020","ACARÁ","PA","08/2021","34534","8760"
"150020","ACARÁ","PA","07/2021","34520","8759"
"150020","ACARÁ","PA","02/2021","34588","8721"
"150020","ACARÁ","PA","10/2021","34590","8803"
"150020","ACARÁ","PA","01/2021","34615","8733"
"150020","ACARÁ","PA","05/2021","34494","8725"
"150020","ACARÁ","PA","03/2021","34533","8731"
"150020","ACARÁ","PA","10/2020","34715","8987"
"150020","ACARÁ","PA","11/2020","34404","8738"
"150020","ACARÁ","PA","07/2020","34672","8999"
"150020","ACARÁ","PA","08/2020","34692","9017"
"150020","ACARÁ","PA","09/2020","34732","9006"
"150020","ACARÁ","PA","05/2020","34656","9007"
"150020","ACARÁ","PA","01/2020","34487","9182"
"150020","ACARÁ","PA","03/2020","34607","8999"
"150020","ACARÁ","PA","06/2020","34658","9002"
"150020","ACARÁ","PA","04/2020","34625","9000"
"150020","ACARÁ","PA","12/2020","34526","8742"
"150020","ACARÁ","PA","02/2020","34420","9040"
"150020","ACARÁ","PA","12/2019","34350","9168"
"150020","ACARÁ","PA","08/2019","34071","9336"
"150020","ACARÁ","PA","02/2019","33716","9333"
"150020","ACARÁ","PA","10/2019","33960","9152"
"150020","ACARÁ","PA","08/2012","20343","11409"
"150020","ACARÁ","PA","11/2019","34143","9177"
"150020","ACARÁ","PA","09/2019","33817","9122"
"150020","ACARÁ","PA","07/2019","33976","9325"
"150020","ACARÁ","PA","04/2019","33675","9273"
"150020","ACARÁ","PA","01/2019","33630","9278"
"150020","ACARÁ","PA","06/2019","33877","9304"
"150020","ACARÁ","PA","03/2019","33763","9348"
"150020","ACARÁ","PA","10/2018","33412","9413"
