"Tabela 9606 - População residente, por cor ou raça, segundo o sexo e a idade"
"Variável - População residente (Pessoas)"
"Cód.";"Unidade da Federação e Município";"Idade";"Ano x Cor ou raça x Sexo"
"Cód.";"Unidade da Federação e Município";"Idade";"2022"
"Cód.";"Unidade da Federação e Município";"Idade";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena"
"Cód.";"Unidade da Federação e Município";"Idade";"Total";"Total";"Total";"Total";"Total";"Total"
"1505494";"Palestina do Pará (PA)";"Total";"6885";"1252";"875";"5";"4748";"5"
"1505502";"Paragominas (PA)";"Total";"105550";"21410";"10702";"167";"71824";"1328"
"1505536";"Parauapebas (PA)";"Total";"267836";"56707";"26734";"351";"182069";"1965"
"1505551";"Pau D'Arco (PA)";"Total";"6931";"1245";"608";"6";"4612";"460"
"1505601";"Peixe-Boi (PA)";"Total";"8285";"1596";"459";"10";"6217";"3"
"1505635";"Piçarra (PA)";"Total";"12832";"2148";"1680";"25";"8964";"5"
"1505650";"Placas (PA)";"Total";"18668";"4260";"2321";"43";"12023";"21"
"1505700";"Ponta de Pedras (PA)";"Total";"24984";"4073";"2179";"11";"18699";"22"
"1505809";"Portel (PA)";"Total";"62503";"8481";"4200";"14";"49781";"26"
"1505908";"Porto de Moz (PA)";"Total";"40597";"4650";"2239";"11";"33604";"93"
"1506005";"Prainha (PA)";"Total";"35577";"3653";"2975";"26";"28900";"23"
"1506104";"Primavera (PA)";"Total";"10851";"1631";"529";"8";"8679";"3"
"1506112";"Quatipuru (PA)";"Total";"11524";"2228";"627";"4";"8653";"12"
"1506138";"Redenção (PA)";"Total";"85597";"21094";"10490";"104";"53606";"299"
"1506161";"Rio Maria (PA)";"Total";"18384";"4363";"2080";"76";"11829";"36"
"1506187";"Rondon do Pará (PA)";"Total";"53143";"11241";"4035";"12";"37745";"108"
"1506195";"Rurópolis (PA)";"Total";"35769";"7287";"3601";"40";"24772";"69"
"1506203";"Salinópolis (PA)";"Total";"44772";"7388";"2191";"36";"35086";"71"
"1506302";"Salvaterra (PA)";"Total";"24129";"2598";"5136";"10";"16364";"21"
