Cód.,Unidade da Federação e Município,Forma de declaração da idade,Menos de 1 ano,3 anos,4 anos,6 anos,7 anos,15 anos,16 anos,17 anos,18 anos,24 anos,25 anos,34 anos,40 anos,44 anos,45 anos,49 anos,50 anos,54 anos,55 anos,59 anos,60 anos,64 anos,70 anos,71 anos,72 anos,73 anos,74 anos,75 anos,76 anos,77 anos,78 anos,79 anos,80 anos,81 anos,82 anos,83 anos,84 anos,85 anos,86 anos,87 anos,88 anos,89 anos,90 anos,91 anos,92 anos,93 anos,94 anos,95 anos,96 anos,97 anos,98 anos,99 anos,100 anos ou mais
1508001,Tomé-Açu (PA),Total,1282,1334,1240,1309,1288,1351,1283,1250,1281,1145,1241,979,1159,822,857,628,684,502,527,382,415,319,251,177,224,200,194,170,142,128,162,105,117,69,92,99,57,61,65,57,39,31,20,17,20,18,17,8,5,5,2,3,10
1508035,Tracuateua (PA),Total,391,427,429,456,502,631,586,544,522,397,430,441,499,418,397,311,346,277,276,232,264,222,166,123,112,98,100,107,90,98,67,59,71,38,54,47,29,36,36,31,37,12,15,14,11,5,8,11,7,4,1,1,3
1508050,Trairão (PA),Total,286,299,291,312,275,277,264,315,286,281,263,239,259,209,197,161,156,138,119,115,105,92,69,40,66,35,43,46,29,31,25,21,24,19,18,15,7,8,6,9,6,5,6,5,3,2,-,2,1,1,-,-,2
1508084,Tucumã (PA),Total,619,694,729,704,703,646,692,606,676,623,656,567,679,503,509,445,436,316,303,313,281,239,166,149,135,109,121,131,102,88,84,76,52,41,60,29,33,23,21,22,17,16,9,4,6,6,2,1,2,4,1,-,2
1508100,Tucuruí (PA),Total,1286,1478,1493,1542,1599,1680,1675,1783,1786,1618,1550,1476,1565,1167,1257,1030,1009,791,850,729,760,624,426,324,389,287,269,228,203,190,203,159,153,142,147,104,94,75,68,62,54,48,31,23,39,19,13,5,13,11,6,3,11
1508126,Ulianópolis (PA),Total,345,654,725,723,694,707,673,607,647,598,768,641,721,463,437,366,367,304,252,309,327,191,122,101,99,88,69,58,55,29,40,28,30,23,21,13,8,15,11,11,4,4,3,4,4,2,2,3,-,3,2,1,3
1508159,Uruará (PA),Total,773,811,766,756,745,871,790,801,818,732,782,698,706,545,539,465,465,379,400,334,333,268,182,159,147,133,112,117,99,99,101,74,67,66,62,53,41,41,43,23,16,20,15,7,9,5,9,3,4,1,1,-,3
1508209,Vigia (PA),Total,595,783,751,774,805,850,914,879,810,704,808,793,890,670,740,534,629,504,484,413,438,353,315,244,251,197,183,183,169,173,155,132,138,91,110,71,64,46,54,55,39,31,38,25,21,16,7,8,7,6,8,5,23
1508308,Viseu (PA),Total,935,1096,1039,1139,1210,1405,1361,1340,1292,905,918,803,891,648,626,563,525,414,503,395,478,327,267,194,228,193,148,173,137,124,135,112,119,70,124,72,66,48,55,49,39,28,39,32,27,11,11,10,8,3,3,5,9
1508357,Vitória do Xingu (PA),Total,238,265,299,318,324,327,314,294,247,275,279,233,255,228,191,162,164,138,143,120,107,96,79,59,46,53,52,31,46,39,34,21,18,14,25,21,16,13,6,11,11,6,8,3,6,2,1,3,3,-,1,-,2
