Codigo,Município,Urbana,Rural,Total,RI,Ano
150480,Monte Alegre (PA),24565,30897,55462,Baixo Amazonas,2010
150490,Muaná (PA),14521,19683,34204,Marajó,2010
150495,Nova Esperança do Piriá (PA),7964,12194,20158,Rio Capim,2010
150497,Nova Ipixuna (PA),7726,6919,14645,Lago Tucuruí,2010
150500,Nova Timboteua (PA),5520,8150,13670,Rio Caeté,2010
150503,Novo Progresso (PA),17717,7407,25124,Tapajós,2010
150506,Novo Repartimento (PA),27950,34100,62050,Lago Tucuruí,2010
150510,Óbidos (PA),25466,23867,49333,Baixo Amazonas,2010
150520,Oeiras do Pará (PA),11432,17163,28595,Tocantins,2010
150530,Oriximiná (PA),40147,22647,62794,Baixo Amazonas,2010
150540,Ourém (PA),7438,8873,16311,Rio Capim,2010
150543,Ourilândia do Norte (PA),19913,7446,27359,Araguaia,2010
150548,Pacajá (PA),13747,26232,39979,Xingu,2010
150549,Palestina do Pará (PA),4546,2929,7475,Carajás,2010
150550,Paragominas (PA),76511,21308,97819,Rio Capim,2010
150553,Parauapebas (PA),138690,15218,153908,Carajás,2010
150555,Pau D'Arco (PA),3641,2392,6033,Araguaia,2010
150560,Peixe-Boi (PA),4169,3685,7854,Rio Caeté,2010
150563,Piçarra (PA),3581,9116,12697,Carajás,2010
150565,Placas (PA),4854,19080,23934,Xingu,2010
150570,Ponta de Pedras (PA),12424,13575,25999,Marajó,2010
150580,Portel (PA),24852,27320,52172,Marajó,2010
150590,Porto de Moz (PA),14583,19373,33956,Xingu,2010
150600,Prainha (PA),8959,20390,29349,Baixo Amazonas,2010
150610,Primavera (PA),6391,3877,10268,Rio Caeté,2010
150611,Quatipuru (PA),5313,7098,12411,Rio Caeté,2010
150613,Redenção (PA),70065,5491,75556,Araguaia,2010
150616,Rio Maria (PA),13512,4185,17697,Araguaia,2010
150618,Rondon do Pará (PA),34696,12268,46964,Rio Capim,2010
150619,Rurópolis (PA),15273,24814,40087,Tapajós,2010
150620,Salinópolis (PA),33391,4030,37421,Rio Caeté,2010
150630,Salvaterra (PA),12672,7511,20183,Marajó,2010
150635,Santa Bárbara do Pará (PA),5458,11683,17141,Guajará,2010
150640,Santa Cruz do Arari (PA),3994,4161,8155,Marajó,2010
150650,Santa Izabel do Pará (PA),43000,16466,59466,Guamá,2010
150655,Santa Luzia do Pará (PA),8693,10731,19424,Rio Caeté,2010
150658,Santa Maria das Barreiras (PA),6357,10849,17206,Araguaia,2010
150660,Santa Maria do Pará (PA),13328,9698,23026,Guamá,2010
150670,Santana do Araguaia (PA),29663,26490,56153,Araguaia,2010
150680,Santarém (PA),215790,78790,294580,Baixo Amazonas,2010
150690,Santarém Novo (PA),1809,4332,6141,Rio Caeté,2010
150700,Santo Antônio do Tauá (PA),14871,11803,26674,Guamá,2010
150710,São Caetano de Odivelas (PA),6958,9933,16891,Guamá,2010
150715,São Domingos do Araguaia (PA),15254,7876,23130,Carajás,2010
150720,São Domingos do Capim (PA),6589,23257,29846,Guamá,2010
150730,São Félix do Xingu (PA),45113,46227,91340,Araguaia,2010
150740,São Francisco do Pará (PA),5113,9947,15060,Guamá,2010
150745,São Geraldo do Araguaia (PA),13590,11997,25587,Carajás,2010
150746,São João da Ponta (PA),1031,4234,5265,Guamá,2010
150747,São João de Pirabas (PA),10487,10160,20647,Rio Caeté,2010
150750,São João do Araguaia (PA),2586,10569,13155,Carajás,2010
150760,São Miguel do Guamá (PA),31884,19683,51567,Guamá,2010
150770,São Sebastião da Boa Vista (PA),9902,13002,22904,Marajó,2010
150775,Sapucaia (PA),3325,1722,5047,Araguaia,2010
150780,Senador José Porfírio (PA),6470,6575,13045,Xingu,2010
150790,Soure (PA),21015,1986,23001,Marajó,2010
150795,Tailândia (PA),58713,20584,79297,Tocantins,2010
150796,Terra Alta (PA),4334,5928,10262,Guamá,2010
150797,Terra Santa (PA),10335,6614,16949,Baixo Amazonas,2010
150800,Tomé-Açu (PA),31563,24955,56518,Rio Capim,2010
150803,Tracuateua (PA),7256,20199,27455,Rio Caeté,2010
150805,Trairão (PA),5679,11196,16875,Tapajós,2010
150808,Tucumã (PA),26907,6783,33690,Araguaia,2010
150810,Tucuruí (PA),92442,4686,97128,Lago Tucuruí,2010
150812,Ulianópolis (PA),28525,14816,43341,Rio Capim,2010
150815,Uruará (PA),24430,20359,44789,Xingu,2010
150820,Vigia (PA),32353,15536,47889,Guamá,2010
150830,Viseu (PA),18397,38319,56716,Rio Caeté,2010
150835,Vitória do Xingu (PA),5362,8069,13431,Xingu,2010
150840,Xinguara (PA),31492,9081,40573,Araguaia,2010
