Codigo,Municipio,0-3,4-6,7-15,16-17,18-24,25-34,35-39,40-44,45-49,50-54,55-59,60-64,64+,Total
150285,Curuá (PA),1157,1053,2900,557,1619,1797,633,551,491,410,304,229,553,12254
150290,Curuçá (PA),2570,2159,7047,1484,4490,5114,1979,1830,1555,1421,1096,1025,2520,34294
150293,Dom Eliseu (PA),4155,3417,10455,2057,7555,9315,3478,2909,2326,1783,1295,963,1609,51319
150295,Eldorado do Carajás (PA),2794,2152,6869,1378,4366,4815,1815,1724,1583,1247,983,797,1262,31786
150300,Faro (PA),804,681,1826,430,1051,1133,459,339,339,281,237,170,426,8177
150304,Floresta do Araguaia (PA),1403,1095,3648,747,2290,3024,1193,1023,838,730,560,421,794,17768
150307,Garrafão do Norte (PA),2067,1896,5812,1236,3484,3830,1437,1233,937,736,651,543,1170,25034
150309,Goianésia do Pará (PA),2589,1934,6138,1272,4444,5664,1919,1590,1337,1071,884,570,1022,30436
150310,Gurupá (PA),3065,2402,7138,1371,4035,4150,1590,1188,990,785,616,543,1183,29062
150320,Igarapé-Açu (PA),2527,1953,7137,1665,5028,5804,2274,2007,1638,1391,1230,951,2276,35887
150330,Igarapé-Miri (PA),5181,3920,11969,2824,8555,9420,3353,2784,2225,1964,1646,1223,2997,58077
150340,Inhangapi (PA),767,610,1992,480,1467,1542,609,566,460,379,329,258,577,10037
150345,Ipixuna do Pará (PA),4107,3490,11538,1933,8009,9609,3339,2675,1732,1404,1131,925,1414,51309
150350,Irituia (PA),2622,2060,6714,1410,4137,4791,1904,1612,1160,1043,1061,890,1951,31364
150360,Itaituba (PA),7210,5833,20100,4352,13257,16848,6238,5680,4917,4034,2987,2135,3897,97493
150370,Itupiranga (PA),4638,3640,11221,2239,6800,8061,2936,2521,2143,1923,1692,1231,2169,51220
150375,Jacareacanga (PA),1336,1031,2668,465,1888,2342,961,1075,834,600,347,250,306,14103
150380,Jacundá (PA),3979,3116,9992,2221,7993,9221,3506,3042,2145,1678,1359,956,2149,51360
150390,Juruti (PA),4922,3797,11176,2103,6438,7091,2475,1986,1618,1417,1188,820,2051,47086
150400,Limoeiro do Ajuru (PA),2334,1879,5909,1192,3740,3800,1424,1136,850,718,576,434,1022,25021
150405,Mãe do Rio (PA),2199,1763,5622,1214,3930,4620,1859,1576,1073,989,848,642,1569,27904
150410,Magalhães Barata (PA),639,512,1747,391,1011,1179,399,410,352,313,278,274,610,8115
150420,Marabá (PA),19679,14774,44035,9564,34568,43974,15622,13111,10705,8433,6319,4315,8552,233669
150430,Maracanã (PA),2157,1826,6326,1362,3481,4025,1589,1424,1233,1080,979,824,2058,28376
150440,Marapanim (PA),1861,1528,5608,1258,3200,3911,1618,1398,1177,1133,999,808,2101,26605
150442,Marituba (PA),7711,5982,19534,4050,15237,22281,8794,6960,5053,4017,2857,2040,3715,108246
150445,Medicilândia (PA),2105,1705,5479,1223,3837,4696,1771,1621,1339,1078,838,578,1058,27328
150450,Melgaço (PA),2963,2271,6402,1243,3506,3659,1259,920,664,502,478,293,645,24808
150460,Mocajuba (PA),2283,2042,6149,1254,3753,3886,1487,1298,960,832,704,598,1475,26731
150470,Moju (PA),6560,5177,15898,3340,9978,11138,4109,3281,2638,2107,1794,1269,2725,70018
150480,Monte Alegre (PA),4108,3476,12411,2707,6630,8384,3515,2913,2444,2118,1857,1440,3454,55462
150490,Muaná (PA),3073,2484,7644,1541,4835,5560,2082,1628,1308,1079,878,660,1427,34204
150495,Nova Esperança do Piriá (PA),2003,1502,4722,958,2844,3327,1203,934,704,549,453,400,558,20158
150497,Nova Ipixuna (PA),1205,972,3063,627,1920,2360,880,755,651,585,504,396,726,14645
150500,Nova Timboteua (PA),877,755,2473,530,1763,2293,925,825,655,608,506,433,1024,13670
150503,Novo Progresso (PA),1916,1551,4784,979,3204,4423,1923,1809,1546,1126,781,511,570,25124
150506,Novo Repartimento (PA),5604,4352,13732,2727,8252,10204,3724,3164,2665,2175,1835,1354,2260,62050
150510,Óbidos (PA),4476,3564,10545,2159,5950,7530,2938,2493,2066,1775,1616,1248,2966,49333
150520,Oeiras do Pará (PA),3187,2478,7072,1317,3791,4124,1547,1190,890,693,671,519,1111,28595
150530,Oriximiná (PA),5729,4700,14233,2884,7828,9881,3723,3029,2563,2193,1736,1334,2958,62794
150540,Ourém (PA),1238,1046,3435,777,2127,2587,965,875,733,563,538,413,1013,16311
150543,Ourilândia do Norte (PA),2240,1685,5356,1213,4114,5216,1984,1667,1213,850,627,412,782,27359
150548,Pacajá (PA),3550,2692,8646,1836,5457,6375,2385,2071,1730,1454,1239,908,1631,39979
150549,Palestina do Pará (PA),597,506,1461,340,1005,1187,429,358,348,293,271,238,439,7475
150550,Paragominas (PA),8473,6518,19616,4061,14457,18641,6750,5485,4018,3257,2371,1545,2624,97819
150553,Parauapebas (PA),13361,9595,27804,5976,24693,33327,10915,8528,6529,4853,3152,1959,3212,153908
150555,Pau D'Arco (PA),446,340,1215,302,791,922,408,375,268,224,222,167,352,6033
150560,Peixe-Boi (PA),513,430,1517,332,1002,1253,473,449,408,354,310,230,576,7854
150563,Piçarra (PA),1022,818,2674,517,1591,2093,915,720,597,492,410,328,520,12697
150565,Placas (PA),2152,1760,4940,986,3221,4416,1483,1184,1062,826,646,511,747,23934
150570,Ponta de Pedras (PA),2219,1814,5392,1187,3726,4113,1578,1354,1123,957,734,524,1271,25999
150580,Portel (PA),6340,4840,13444,2367,6858,7294,2675,1857,1530,1290,1114,830,1726,52172
150590,Porto de Moz (PA),4048,2914,8468,1594,4946,4899,1859,1358,1018,753,600,429,1068,33956
150600,Prainha (PA),2720,2269,7384,1415,3752,4299,1626,1380,1164,946,778,485,1129,29349
150610,Primavera (PA),682,622,2112,496,1323,1565,604,565,457,378,346,318,796,10268
150611,Quatipuru (PA),872,763,2745,576,1573,1945,738,618,608,478,397,316,780,12411
150613,Redenção (PA),5400,4284,14562,3092,10265,13547,5574,4826,3897,3024,2197,1615,3267,75556
150616,Rio Maria (PA),1175,976,3146,666,2357,3109,1281,1137,954,777,654,508,957,17697
150618,Rondon do Pará (PA),3284,2754,8883,1992,6499,8476,3181,2902,2449,1853,1497,1082,2109,46964
150619,Rurópolis (PA),3258,2733,8606,1751,5490,6837,2481,2163,1631,1502,1195,932,1503,40087
150620,Salinópolis (PA),2679,2200,7570,1650,5372,6362,2449,2095,1645,1376,1201,885,1924,37421
150630,Salvaterra (PA),1540,1200,4093,915,2797,3085,1347,1080,940,798,629,551,1205,20183
150635,Santa Bárbara do Pará (PA),1295,967,3429,713,2363,2916,1187,1014,771,614,570,438,861,17141
150640,Santa Cruz do Arari (PA),549,477,1604,360,1235,1445,535,432,403,290,229,183,411,8155
150650,Santa Izabel do Pará (PA),3922,3168,10626,2500,8888,11581,4426,3656,2698,2139,1678,1353,2824,59466
150655,Santa Luzia do Pará (PA),1500,1281,4221,954,2755,3000,1190,927,806,693,556,429,1112,19424
150658,Santa Maria das Barreiras (PA),1285,1049,3354,654,1853,2735,1126,1163,973,859,798,521,836,17206
150660,Santa Maria do Pará (PA),1481,1277,4243,1006,3078,3961,1668,1436,1142,935,788,562,1447,23026
150670,Santana do Araguaia (PA),4009,3763,11359,2077,7962,10838,4280,3315,2505,2017,1354,1054,1617,56153
150680,Santarém (PA),23081,18166,58608,13115,41345,48294,18863,15807,13894,11358,9306,6877,15840,294580
150690,Santarém Novo (PA),479,407,1360,274,784,991,370,288,259,186,201,166,375,6141
150700,Santo Antônio do Tauá (PA),2034,1561,5287,1223,3680,4456,1719,1382,1160,1055,870,697,1546,26674
150710,São Caetano de Odivelas (PA),1231,1023,3377,797,2260,2655,1059,885,736,661,618,456,1128,16891
150715,São Domingos do Araguaia (PA),1894,1475,4930,1036,2999,3689,1379,1167,991,790,770,630,1378,23130
150720,São Domingos do Capim (PA),3060,2378,7082,1390,3873,4361,1650,1343,995,825,798,657,1430,29846
150730,São Félix do Xingu (PA),6023,5369,17549,3293,13569,18768,7285,6054,4146,3305,2192,1634,2149,91340
150740,São Francisco do Pará (PA),988,835,2874,629,2022,2559,914,822,757,619,592,408,1038,15060
150745,São Geraldo do Araguaia (PA),1966,1544,5225,1126,3325,4280,1674,1461,1136,985,841,638,1383,25587
150746,São João da Ponta (PA),426,371,1041,237,686,756,301,270,244,208,199,132,393,5265
150747,São João de Pirabas (PA),1572,1370,4244,914,2851,3169,1220,960,879,738,719,563,1435,20647
150750,São João do Araguaia (PA),1124,942,2796,611,1689,1952,696,707,658,515,454,351,659,13155
150760,São Miguel do Guamá (PA),4197,3435,10681,2299,7189,8486,3254,2710,2167,1743,1457,1220,2722,51567
150770,São Sebastião da Boa Vista (PA),2209,1711,5116,1112,3377,3517,1302,991,857,677,545,401,1084,22904
150775,Sapucaia (PA),372,273,993,196,695,868,342,357,283,213,161,112,182,5047
150780,Senador José Porfírio (PA),1286,978,2956,513,1607,2099,788,675,620,481,364,268,410,13045
150790,Soure (PA),1739,1345,4541,1055,3041,3702,1464,1332,1041,956,753,598,1433,23001
150795,Tailândia (PA),6676,5632,17188,3089,12448,16165,5136,3874,2742,1894,1476,1093,1880,79297
150796,Terra Alta (PA),770,624,2174,473,1317,1572,631,586,452,355,339,282,685,10262
150797,Terra Santa (PA),1303,1123,3774,789,2233,2780,1017,784,653,624,521,408,940,16949
150800,Tomé-Açu (PA),5251,3885,11952,2529,7999,9327,3522,2917,2177,1778,1511,1133,2529,56518
150803,Tracuateua (PA),2326,1857,5945,1292,3763,4232,1577,1320,1104,993,874,635,1536,27455
150805,Trairão (PA),1466,1107,3313,648,2443,3200,1087,851,749,650,496,348,516,16875
150808,Tucumã (PA),2670,1907,6231,1441,4837,6199,2335,2073,1704,1325,1006,700,1262,33690
150810,Tucuruí (PA),7929,6230,19185,4227,14456,17619,6405,5284,4365,3647,2700,1751,3325,97128
150812,Ulianópolis (PA),3718,2880,9098,1533,6746,8383,3300,2221,1497,1532,838,671,923,43341
150815,Uruará (PA),3853,2899,8995,1884,6200,8331,2855,2409,1916,1601,1218,969,1653,44789
150820,Vigia (PA),3409,2791,9043,2125,6763,8273,3123,2623,2116,1863,1640,1261,2849,47889
150830,Viseu (PA),5682,4473,13338,2627,7546,8238,2975,2453,2099,1815,1585,1172,2711,56716
150835,Vitória do Xingu (PA),942,809,2676,546,2080,2472,855,757,552,470,390,306,574,13431
150840,Xinguara (PA),2984,2350,7665,1601,5555,7415,2913,2509,2097,1596,1283,903,1699,40573
