Codigo,Municipio,Branca,Preta,Amarela,Parda,Indígena,Total,RI,Ano,Homens,Mulheres
150560,Peixe-Boi (PA),1596.0,459.0,10,6217.0,3.0,8285,Rio Caeté,2022,,
150563,Piçarra (PA),2148.0,1680.0,25,8964.0,5.0,12832,Carajás,2022,,
150565,Placas (PA),4260.0,2321.0,43,12023.0,21.0,18668,Xingu,2022,,
150570,Ponta de Pedras (PA),4073.0,2179.0,11,18699.0,22.0,24984,Marajó,2022,,
150580,Portel (PA),8481.0,4200.0,14,49781.0,26.0,62503,Marajó,2022,,
150590,Porto de Moz (PA),4650.0,2239.0,11,33604.0,93.0,40597,Xingu,2022,,
150600,Prainha (PA),3653.0,2975.0,26,28900.0,23.0,35577,Baixo Amazonas,2022,,
150610,Primavera (PA),1631.0,529.0,8,8679.0,3.0,10851,Rio Caeté,2022,,
150611,Quatipuru (PA),2228.0,627.0,4,8653.0,12.0,11524,Rio Caeté,2022,,
150613,Redenção (PA),21094.0,10490.0,104,53606.0,299.0,85597,Araguaia,2022,,
150616,Rio Maria (PA),4363.0,2080.0,76,11829.0,36.0,18384,Araguaia,2022,,
150618,Rondon do Pará (PA),11241.0,4035.0,12,37745.0,108.0,53143,Rio Capim,2022,,
150619,Rurópolis (PA),7287.0,3601.0,40,24772.0,69.0,35769,Tapajós,2022,,
150620,Salinópolis (PA),7388.0,2191.0,36,35086.0,71.0,44772,Rio Caeté,2022,,
150630,Salvaterra (PA),2598.0,5136.0,10,16364.0,21.0,24129,Marajó,2022,,
150635,Santa Bárbara do Pará (PA),3409.0,2076.0,17,15561.0,24.0,21087,Guajará,2022,,
150640,Santa Cruz do Arari (PA),977.0,1945.0,10,4509.0,4.0,7445,Marajó,2022,,
150650,Santa Izabel do Pará (PA),11585.0,7236.0,279,53832.0,86.0,73019,Guamá,2022,,
150655,Santa Luzia do Pará (PA),3369.0,1547.0,24,14694.0,736.0,20370,Rio Caeté,2022,,
150658,Santa Maria das Barreiras (PA),3582.0,1694.0,26,11146.0,100.0,16548,Araguaia,2022,,
150660,Santa Maria do Pará (PA),4867.0,1455.0,59,17848.0,395.0,24624,Guamá,2022,,
150670,Santana do Araguaia (PA),6971.0,4312.0,84,20900.0,145.0,32413,Araguaia,2022,,
150680,Santarém (PA),56124.0,23988.0,389,240817.0,10602.0,331942,Baixo Amazonas,2022,,
150690,Santarém Novo (PA),866.0,383.0,9,4854.0,4.0,6116,Rio Caeté,2022,,
150700,Santo Antônio do Tauá (PA),5109.0,1935.0,50,20328.0,39.0,27461,Guamá,2022,,
150710,São Caetano de Odivelas (PA),2879.0,950.0,12,12819.0,6.0,16666,Guamá,2022,,
150715,São Domingos do Araguaia (PA),3910.0,2204.0,31,14889.0,57.0,21092,Carajás,2022,,
150720,São Domingos do Capim (PA),3564.0,3116.0,15,23897.0,7.0,30599,Guamá,2022,,
150730,São Félix do Xingu (PA),12033.0,6152.0,72,44722.0,2439.0,65418,Araguaia,2022,,
150740,São Francisco do Pará (PA),2535.0,819.0,21,11495.0,24.0,14894,Guamá,2022,,
