Codigo,Município,Rural,Urbana,RI,Ano
150480,,27358,32654,Baixo Amazonas,2022
150490,,25807,19561,Marajó,2022
150495,,7748,12730,Rio Capim,2022
150497,,6905,7050,Lago Tucuruí,2022
150500,,3701,9105,Rio Caeté,2022
150503,,6707,26931,Tapajós,2022
150506,,28043,32689,Lago Tucuruí,2022
150510,,20530,31699,Baixo Amazonas,2022
150520,,18175,15669,Tocantins,2022
150530,,20936,47358,Baixo Amazonas,2022
150540,,6971,10884,Rio Capim,2022
150543,,4972,27495,Araguaia,2022
150548,,22133,18964,Xingu,2022
150549,,2161,4724,Carajás,2022
150550,,9400,96150,Rio Capim,2022
150553,,9611,258225,Carajás,2022
150555,,2692,4239,Araguaia,2022
150560,,3299,4986,Rio Caeté,2022
150563,,7514,5318,Carajás,2022
150565,,10608,8060,Xingu,2022
150570,,11982,13002,Marajó,2022
150580,,32280,30223,Marajó,2022
150590,,20734,19863,Xingu,2022
150600,,17057,18520,Baixo Amazonas,2022
150610,,3649,7202,Rio Caeté,2022
150611,,1873,9651,Rio Caeté,2022
150613,,3967,81630,Araguaia,2022
150616,,4414,13970,Araguaia,2022
150618,,19272,33871,Rio Capim,2022
150619,,14132,21637,Tapajós,2022
150620,,3633,41139,Rio Caeté,2022
150630,,6315,17814,Marajó,2022
150635,,7323,13764,Guajará,2022
150640,,1175,6270,Marajó,2022
150650,,14349,58670,Guamá,2022
150655,,9418,10952,Rio Caeté,2022
150658,,8368,8180,Araguaia,2022
150660,,7544,17080,Guamá,2022
150670,,6594,25819,Araguaia,2022
150680,,67435,264507,Baixo Amazonas,2022
150690,,4206,1910,Rio Caeté,2022
150700,,9144,18317,Guamá,2022
150710,,7436,9230,Guamá,2022
150715,,6202,14890,Carajás,2022
150720,,21289,9310,Guamá,2022
150730,,26304,39114,Araguaia,2022
150740,,7452,7442,Guamá,2022
150745,,7312,16943,Carajás,2022
150746,,3554,876,Guamá,2022
150747,,7559,13130,Rio Caeté,2022
150750,,8242,5422,Carajás,2022
150760,,15048,37846,Guamá,2022
150770,,14383,11260,Marajó,2022
150775,,1083,4764,Araguaia,2022
150780,,13613,8963,Xingu,2022
150790,,1661,22543,Marajó,2022
150795,,9622,62871,Tocantins,2022
150796,,4492,5908,Guamá,2022
150797,,2523,16259,Baixo Amazonas,2022
150800,,24778,42807,Rio Capim,2022
150803,,18422,10173,Rio Caeté,2022
150805,,5843,9399,Tapajós,2022
150808,,5433,34117,Araguaia,2022
150810,,5746,85560,Lago Tucuruí,2022
150812,,11486,26486,Rio Capim,2022
150815,,17880,25678,Xingu,2022
150820,,11236,39596,Guamá,2022
150830,,28756,29936,Rio Caeté,2022
150835,,6907,8700,Xingu,2022
150840,,6503,46390,Araguaia,2022
