Codigo,Municipio,RI,Ano_merge,Ano,Rural_Cadunico,Urbano_Cadunico,Rural_IBGE,Urbano_IBGE
150293,DOM ELISEU,Rio Capim,2010,2013.0,4036.0,22130.0,18803.0,32516.0
150293,DOM ELISEU,Rio Capim,2022,2022.0,6213.0,20296.0,9163.0,49321.0
150295,ELDORADO DO CARAJÁS,Carajás,2010,2013.0,8279.0,11147.0,15208.0,16578.0
150295,ELDORADO DO CARAJÁS,Carajás,2022,2022.0,10923.0,11373.0,10939.0,17253.0
150300,FARO,Baixo Amazonas,2010,2013.0,1489.0,4853.0,2049.0,6128.0
150300,FARO,Baixo Amazonas,2022,2022.0,2910.0,5656.0,1530.0,7198.0
150304,FLORESTA DO ARAGUAIA,Araguaia,2010,2013.0,5010.0,7805.0,9054.0,8714.0
150304,FLORESTA DO ARAGUAIA,Araguaia,2022,2022.0,6039.0,7938.0,7449.0,10449.0
150307,GARRAFÃO DO NORTE,Rio Capim,2010,2013.0,14088.0,8473.0,16427.0,8607.0
150307,GARRAFÃO DO NORTE,Rio Capim,2022,2022.0,12305.0,7520.0,10515.0,14188.0
150309,GOIANÉSIA DO PARÁ,Lago Tucuruí,2010,2013.0,7694.0,15468.0,9354.0,21082.0
150309,GOIANÉSIA DO PARÁ,Lago Tucuruí,2022,2022.0,8699.0,11784.0,9572.0,16790.0
150310,GURUPÁ,Marajó,2010,2013.0,14835.0,8246.0,19482.0,9580.0
150310,GURUPÁ,Marajó,2022,2022.0,20538.0,10185.0,18558.0,13228.0
150320,IGARAPÉ-AÇU,Guamá,2010,2013.0,9657.0,13457.0,14680.0,21207.0
150320,IGARAPÉ-AÇU,Guamá,2022,2022.0,11955.0,15329.0,10935.0,24862.0
150330,IGARAPÉ-MIRI,Tocantins,2010,2013.0,28335.0,19508.0,31872.0,26205.0
150330,IGARAPÉ-MIRI,Tocantins,2022,2022.0,31615.0,18455.0,35920.0,28911.0
150340,INHANGAPI,Guamá,2010,2013.0,4658.0,2674.0,7266.0,2771.0
150340,INHANGAPI,Guamá,2022,2022.0,5322.0,2601.0,6666.0,3659.0
150345,IPIXUNA DO PARÁ,Rio Capim,2010,2013.0,11793.0,10936.0,39082.0,12227.0
150345,IPIXUNA DO PARÁ,Rio Capim,2022,2022.0,15845.0,10956.0,14797.0,15532.0
150350,IRITUIA,Rio Capim,2010,2013.0,17470.0,6869.0,24840.0,6524.0
150350,IRITUIA,Rio Capim,2022,2022.0,19781.0,6249.0,21997.0,8958.0
150360,ITAITUBA,Tapajós,2010,2013.0,12734.0,53314.0,26811.0,70682.0
150360,ITAITUBA,Tapajós,2022,2022.0,18750.0,57598.0,16030.0,107284.0
150370,ITUPIRANGA,Lago Tucuruí,2010,2013.0,17159.0,20373.0,30730.0,20490.0
150370,ITUPIRANGA,Lago Tucuruí,2022,2022.0,19322.0,17369.0,21196.0,28558.0
150375,JACAREACANGA,Tapajós,2010,2013.0,7516.0,4057.0,9173.0,4930.0
150375,JACAREACANGA,Tapajós,2022,2022.0,10831.0,6479.0,13892.0,10150.0
