Codigo,Municipio_x,0-3_cadunico,4-6_cadunico,7-15_cadunico,16-17_cadunico,18-24_cadunico,25-34_cadunico,35-39_cadunico,40-44_cadunico,45-49_cadunico,50-54_cadunico,55-59_cadunico,60-64_cadunico,64+_cadunico,Total_cadunico,Ano,RI,Municipio_y,0-3_geral,4-6_geral,7-15_geral,16-17_geral,18-24_geral,25-34_geral,35-39_geral,40-44_geral,45-49_geral,50-54_geral,55-59_geral,60-64_geral,64+_geral,Total_geral
150172,BRASIL NOVO,,,2333.0,536.0,1538.0,1648.0,708.0,591.0,456.0,331.0,221.0,160.0,469.0,8991.0,2010,Xingu,Brasil Novo (PA),1176.0,904.0,3026.0,673.0,2002.0,2546.0,1076.0,958.0,891.0,645.0,513.0,422.0,858.0,15690.0
150172,BRASIL NOVO,1005.0,922.0,2639.0,664.0,2168.0,2398.0,1073.0,1047.0,871.0,710.0,683.0,533.0,1260.0,15973.0,2022,Xingu,Brasil Novo (PA),1561.0,1313.0,3982.0,947.0,2965.0,3866.0,1944.0,1887.0,1505.0,1310.0,1138.0,769.0,1870.0,24718.0
150175,BREJO GRANDE DO ARAGUAIA,,,1452.0,332.0,957.0,968.0,357.0,286.0,255.0,229.0,178.0,155.0,201.0,5370.0,2010,Carajás,Brejo Grande do Araguaia (PA),594.0,487.0,1466.0,353.0,966.0,1168.0,406.0,385.0,345.0,310.0,270.0,178.0,389.0,7317.0
150175,BREJO GRANDE DO ARAGUAIA,365.0,360.0,1192.0,259.0,810.0,827.0,383.0,406.0,322.0,255.0,230.0,197.0,360.0,5966.0,2022,Carajás,Brejo Grande do Araguaia (PA),498.0,364.0,1150.0,264.0,737.0,919.0,512.0,493.0,425.0,347.0,308.0,224.0,663.0,6783.0
150178,BREU BRANCO,,,9240.0,1948.0,4796.0,4256.0,1609.0,1358.0,1137.0,862.0,700.0,597.0,1812.0,28315.0,2010,Lago Tucuruí,Breu Branco (PA),4721.0,3816.0,11657.0,2248.0,7443.0,8665.0,3080.0,2517.0,2097.0,1776.0,1463.0,1048.0,1959.0,52493.0
150178,BREU BRANCO,2472.0,2241.0,6552.0,1568.0,4251.0,4133.0,1903.0,1732.0,1364.0,1291.0,1153.0,1153.0,3078.0,32891.0,2022,Lago Tucuruí,Breu Branco (PA),3406.0,2687.0,8238.0,1814.0,5675.0,6769.0,3424.0,3119.0,2438.0,2272.0,1819.0,1225.0,3583.0,45712.0
150180,BREVES,,,21324.0,4153.0,9124.0,8659.0,3475.0,2796.0,2157.0,1799.0,1446.0,876.0,1481.0,57290.0,2010,Marajó,Breves (PA),9604.0,7409.0,23204.0,4456.0,12369.0,13368.0,5038.0,3855.0,3104.0,2651.0,2271.0,1626.0,3887.0,92860.0
150180,BREVES,7838.0,7128.0,21145.0,4596.0,13196.0,13588.0,4998.0,4440.0,3486.0,2841.0,2191.0,1565.0,3368.0,90380.0,2022,Marajó,Breves (PA),10633.0,7569.0,21935.0,4677.0,15545.0,16362.0,6886.0,6250.0,4585.0,3900.0,2863.0,2164.0,6052.0,106968.0
150190,BUJARU,,,5667.0,1281.0,3703.0,3300.0,1246.0,1072.0,838.0,599.0,518.0,398.0,701.0,19323.0,2010,Rio Capim,Bujaru (PA),2251.0,1944.0,5843.0,1207.0,3351.0,3877.0,1593.0,1346.0,972.0,788.0,682.0,535.0,1302.0,25695.0
150190,BUJARU,1681.0,1584.0,4661.0,1114.0,3301.0,3862.0,1550.0,1418.0,1174.0,1061.0,809.0,478.0,745.0,23438.0,2022,Rio Capim,Bujaru (PA),1775.0,1420.0,4358.0,1018.0,3086.0,3693.0,1731.0,1628.0,1370.0,1191.0,961.0,609.0,1930.0,24383.0
