Codigo,Municipio_cad,Branca_cadunico,Preta_cadunico,Amarela_cadunico,Parda_cadunico,Indigena_cadunico,NoData_cadunico,RI_cad,Municipio_ibge,Branca_geral,Preta_geral,Amarela_geral,Parda_geral,Indigena_geral,Total_geral,RI_ibge,Ano
150178,BREU BRANCO,2570.0,1904.0,40.0,29018.0,37.0,151.0,Lago Tucuruí,Breu Branco (PA),9744.0,3652.0,173,38892.0,32,52493.0,Lago Tucuruí,2010.0
150178,BREU BRANCO,2923.0,2029.0,111.0,27804.0,22.0,2.0,Lago Tucuruí,Breu Branco (PA),7787.0,5254.0,49,32526.0,96,45712.0,Lago Tucuruí,2022.0
150180,BREVES,5043.0,1519.0,135.0,63272.0,65.0,1078.0,Marajó,Breves (PA),19810.0,6678.0,631,65663.0,78,92860.0,Marajó,2010.0
150180,BREVES,4998.0,1408.0,588.0,83295.0,82.0,9.0,Marajó,Breves (PA),15892.0,7566.0,118,83288.0,104,106968.0,Marajó,2022.0
150190,BUJARU,486.0,1302.0,18.0,21004.0,14.0,101.0,Rio Capim,Bujaru (PA),3223.0,2932.0,94,19444.0,2,25695.0,Rio Capim,2010.0
150190,BUJARU,717.0,1385.0,99.0,21219.0,12.0,6.0,Rio Capim,Bujaru (PA),2546.0,3060.0,19,18732.0,26,24383.0,Rio Capim,2022.0
150195,CACHOEIRA DO PIRIÁ,972.0,771.0,52.0,14289.0,5.0,73.0,Rio Caeté,Cachoeira do Piriá (PA),2598.0,1425.0,156,22270.0,35,26484.0,Rio Caeté,2010.0
150195,CACHOEIRA DO PIRIÁ,1244.0,758.0,66.0,15406.0,5.0,3.0,Rio Caeté,Cachoeira do Piriá (PA),2712.0,2470.0,5,14412.0,31,19630.0,Rio Caeté,2022.0
150200,CACHOEIRA DO ARARI,240.0,292.0,18.0,15520.0,2.0,217.0,Marajó,Cachoeira do Arari (PA),2230.0,2056.0,331,15825.0,1,20443.0,Marajó,2010.0
150200,CACHOEIRA DO ARARI,319.0,321.0,58.0,17476.0,6.0,2.0,Marajó,Cachoeira do Arari (PA),2124.0,3508.0,14,18319.0,16,23981.0,Marajó,2022.0
150210,CAMETÁ,9409.0,3091.0,230.0,70873.0,25.0,1358.0,Tocantins,Cametá (PA),26407.0,7800.0,688,85983.0,18,120896.0,Tocantins,2010.0
150210,CAMETÁ,21650.0,8465.0,790.0,74159.0,45.0,4.0,Tocantins,Cametá (PA),23161.0,10565.0,55,100277.0,125,134184.0,Tocantins,2022.0
150215,CANAÃ DOS CARAJÁS,2829.0,691.0,115.0,14780.0,25.0,332.0,Carajás,Canaã dos Carajás (PA),7003.0,1828.0,504,17312.0,69,26716.0,Carajás,2010.0
150215,CANAÃ DOS CARAJÁS,3344.0,1033.0,196.0,28555.0,18.0,12.0,Carajás,Canaã dos Carajás (PA),16694.0,7515.0,204,52546.0,120,77079.0,Carajás,2022.0
150220,CAPANEMA,4461.0,562.0,59.0,34836.0,20.0,324.0,Rio Caeté,Capanema (PA),16764.0,2540.0,345,43879.0,111,63639.0,Rio Caeté,2010.0
150220,CAPANEMA,5311.0,631.0,137.0,34491.0,17.0,4.0,Rio Caeté,Capanema (PA),16489.0,3796.0,149,49858.0,102,70394.0,Rio Caeté,2022.0
150230,CAPITÃO POÇO,632.0,171.0,45.0,36918.0,228.0,264.0,Rio Capim,Capitão Poço (PA),7648.0,1697.0,270,42221.0,57,51893.0,Rio Capim,2010.0
150230,CAPITÃO POÇO,838.0,198.0,80.0,40019.0,156.0,4.0,Rio Capim,Capitão Poço (PA),8253.0,3059.0,43,45081.0,69,56506.0,Rio Capim,2022.0
150240,CASTANHAL,10499.0,3258.0,229.0,87141.0,52.0,1311.0,Guamá,Castanhal (PA),42784.0,9126.0,1944,119139.0,156,173149.0,Guamá,2010.0
150240,CASTANHAL,13981.0,4310.0,369.0,91126.0,52.0,16.0,Guamá,Castanhal (PA),42881.0,16429.0,719,132079.0,144,192256.0,Guamá,2022.0
150250,CHAVES,287.0,212.0,38.0,14995.0,3.0,288.0,Marajó,Chaves (PA),2269.0,1451.0,272,17013.0,-,21005.0,Marajó,2010.0
150250,CHAVES,204.0,139.0,42.0,17039.0,0.0,0.0,Marajó,Chaves (PA),2620.0,2692.0,40,15381.0,24,20757.0,Marajó,2022.0
150260,COLARES,1171.0,158.0,32.0,6414.0,16.0,44.0,Guamá,Colares (PA),2291.0,324.0,50,8687.0,29,11381.0,Guamá,2010.0
150260,COLARES,1553.0,304.0,44.0,7652.0,6.0,1.0,Guamá,Colares (PA),2165.0,834.0,2,9855.0,12,12868.0,Guamá,2022.0
150270,CONCEIÇÃO DO ARAGUAIA,4713.0,2672.0,101.0,21237.0,55.0,383.0,Araguaia,Conceição do Araguaia (PA),11068.0,4489.0,998,28855.0,147,45557.0,Araguaia,2010.0
150270,CONCEIÇÃO DO ARAGUAIA,4040.0,2456.0,100.0,21831.0,57.0,5.0,Araguaia,Conceição do Araguaia (PA),9601.0,5992.0,142,28776.0,102,44617.0,Araguaia,2022.0
150275,CONCÓRDIA DO PARÁ,1037.0,1022.0,41.0,18744.0,9.0,180.0,Rio Capim,Concórdia do Pará (PA),4190.0,2095.0,120,21809.0,2,28216.0,Rio Capim,2010.0
